Year,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2010,F,U,Q2,ISCED11_2,0
2015,F,U,Q2,ISCED11_2,0
2005,F,U,Q2,ISCED11_3,0
2010,F,U,Q2,ISCED11_3,0
2015,F,U,Q2,ISCED11_3,0
2005,F,U,Q3,ISCED11_1,0
2010,F,U,Q3,ISCED11_1,0
2015,F,U,Q3,ISCED11_1,0
2019,F,U,Q3,ISCED11_1,0
2005,F,U,Q3,ISCED11_2,0
2010,F,U,Q3,ISCED11_2,0
2015,F,U,Q3,ISCED11_2,0
2019,F,U,Q3,ISCED11_2,0
2005,F,U,Q3,ISCED11_3,0
2010,F,U,Q3,ISCED11_3,0
2015,F,U,Q3,ISCED11_3,0
2019,F,U,Q3,ISCED11_3,0
2005,F,U,Q4,ISCED11_1,93
2010,F,U,Q4,ISCED11_1,97
2014,F,U,Q4,ISCED11_1,96
2015,F,U,Q4,ISCED11_1,96
2019,F,U,Q4,ISCED11_1,97
2005,F,U,Q4,ISCED11_2,71
2010,F,U,Q4,ISCED11_2,92
2014,F,U,Q4,ISCED11_2,87
2015,F,U,Q4,ISCED11_2,87
2019,F,U,Q4,ISCED11_2,65
2005,F,U,Q4,ISCED11_3,2
2010,F,U,Q4,ISCED11_3,7
2014,F,U,Q4,ISCED11_3,7
2015,F,U,Q4,ISCED11_3,7
2019,F,U,Q4,ISCED11_3,0
2005,F,U,Q5,ISCED11_1,97
2010,F,U,Q5,ISCED11_1,98
2014,F,U,Q5,ISCED11_1,96
2015,F,U,Q5,ISCED11_1,98
2019,F,U,Q5,ISCED11_1,99
2005,F,U,Q5,ISCED11_2,85
2010,F,U,Q5,ISCED11_2,91
2014,F,U,Q5,ISCED11_2,91
2015,F,U,Q5,ISCED11_2,95
2019,F,U,Q5,ISCED11_2,81
2005,F,U,Q5,ISCED11_3,10
2010,F,U,Q5,ISCED11_3,28
2014,F,U,Q5,ISCED11_3,25
2015,F,U,Q5,ISCED11_3,32
2019,F,U,Q5,ISCED11_3,29
2000,M,,,ISCED11_1,85
2001,M,,,ISCED11_1,85
2002,M,,,ISCED11_1,84
2003,M,,,ISCED11_1,84
2004,M,,,ISCED11_1,83
2005,M,,,ISCED11_1,86
2006,M,,,ISCED11_1,82
2007,M,,,ISCED11_1,82
2008,M,,,ISCED11_1,82
2009,M,,,ISCED11_1,82
2010,M,,,ISCED11_1,86
2011,M,,,ISCED11_1,81
2012,M,,,ISCED11_1,81
2013,M,,,ISCED11_1,81
2014,M,,,ISCED11_1,83
2015,M,,,ISCED11_1,87
2016,M,,,ISCED11_1,82
2017,M,,,ISCED11_1,82
2018,M,,,ISCED11_1,82
2019,M,,,ISCED11_1,86
2020,M,,,ISCED11_1,83
2000,M,,,ISCED11_2,68
2001,M,,,ISCED11_2,68
2002,M,,,ISCED11_2,67
2003,M,,,ISCED11_2,67
2004,M,,,ISCED11_2,66
2005,M,,,ISCED11_2,63
2006,M,,,ISCED11_2,65
2007,M,,,ISCED11_2,65
2008,M,,,ISCED11_2,65
2009,M,,,ISCED11_2,68
2010,M,,,ISCED11_2,72
2011,M,,,ISCED11_2,65
2012,M,,,ISCED11_2,68
2013,M,,,ISCED11_2,65
2014,M,,,ISCED11_2,66
2015,M,,,ISCED11_2,72
2016,M,,,ISCED11_2,66
2017,M,,,ISCED11_2,67
2018,M,,,ISCED11_2,68
2019,M,,,ISCED11_2,54
2020,M,,,ISCED11_2,69
2000,M,,,ISCED11_3,12
2001,M,,,ISCED11_3,11
2002,M,,,ISCED11_3,11
2003,M,,,ISCED11_3,12
2004,M,,,ISCED11_3,12
2005,M,,,ISCED11_3,7
2006,M,,,ISCED11_3,12
2007,M,,,ISCED11_3,12
2008,M,,,ISCED11_3,12
2009,M,,,ISCED11_3,16
2010,M,,,ISCED11_3,15
2011,M,,,ISCED11_3,11
2012,M,,,ISCED11_3,13
2013,M,,,ISCED11_3,10
2014,M,,,ISCED11_3,12
2015,M,,,ISCED11_3,15
2016,M,,,ISCED11_3,10
2017,M,,,ISCED11_3,10
2018,M,,,ISCED11_3,10
2019,M,,,ISCED11_3,17
2020,M,,,ISCED11_3,10
2005,M,,Q1,ISCED11_1,67
2010,M,,Q1,ISCED11_1,66
2014,M,,Q1,ISCED11_1,70
2015,M,,Q1,ISCED11_1,73
2019,M,,Q1,ISCED11_1,75
2005,M,,Q1,ISCED11_2,32
2010,M,,Q1,ISCED11_2,37
2014,M,,Q1,ISCED11_2,40
2015,M,,Q1,ISCED11_2,40
2019,M,,Q1,ISCED11_2,20
2005,M,,Q1,ISCED11_3,0
2010,M,,Q1,ISCED11_3,0
2014,M,,Q1,ISCED11_3,1
2015,M,,Q1,ISCED11_3,2
2019,M,,Q1,ISCED11_3,0
2005,M,,Q2,ISCED11_1,84
2010,M,,Q2,ISCED11_1,85
2014,M,,Q2,ISCED11_1,79
2015,M,,Q2,ISCED11_1,83
2019,M,,Q2,ISCED11_1,83
2005,M,,Q2,ISCED11_2,44
2010,M,,Q2,ISCED11_2,63
2014,M,,Q2,ISCED11_2,54
2015,M,,Q2,ISCED11_2,60
